V2	type	strain.y	sample.x	strain.x	code	acession	sample.y	row	layer	cluster1	cluster2
102	193	10177-1993	ERS023488	1749s01	6180_3_1	ERR038757	mysnps_102	54	2	epidemic	193
103	193	10246-1993	ERS023489	1749s02	6180_3_2	ERR038758	mysnps_103	55	2	epidemic	193
104	193	10382-1995	ERS023490	1749s03	6180_3_3	ERR038759	mysnps_104	56	2	epidemic	193
105	193	1013-1997	ERS023491	1749s04	6180_3_4	ERR038760	mysnps_105	57	2	epidemic	193
106	193	11671-1996	ERS023492	1749s05	6180_3_5	ERR038761	mysnps_106	58	2	epidemic	193
107	193	4061-1997	ERS023493	1749s06	6180_3_6	ERR038762	mysnps_107	59	2	epidemic	193
108	120	S03512-08	ERS023494	1749s07	6180_3_7	ERR038763	mysnps_108	89	2	epidemic	U288
109	ND	1731-1999	ERS023502	1749s15	6180_4_3	ERR038771	mysnps_109	65	2	epidemic	DT104A
110	ND	6887-2000	ERS023504	1749s17	6180_4_5	ERR038773	mysnps_110	66	2	epidemic	DT104A
111	ND	2798-2001	ERS023505	1749s18	6180_4_6	ERR038774	mysnps_111	67	2	epidemic	DT104A
112	ND	3543-2002	ERS023506	1749s19	6180_4_7	ERR038775	mysnps_112	68	2	epidemic	DT104A
113	ND	S5828-08	ERS023520	1749s33	6180_5_9	ERR038789	mysnps_113	105	2	epidemic	DT104BC
114	ND	S4489-10	ERS023523	1749s36	6180_5_12	ERR038792	mysnps_114	106	2	epidemic	DT104BC
115	ND	S00250-07	ERS023525	1749s38	6221_1_2	ERR039364	mysnps_115	69	2	epidemic	DT104A
116	ND	L00961-04	ERS023527	1749s40	6221_1_4	ERR039366	mysnps_116	60	2	epidemic	193
117	ND	5102-1999	ERS023528	1749s41	6221_1_5	ERR039367	mysnps_117	107	2	epidemic	DT104BC
118	DT193	L01730-06	ERS023529	1749s42	6221_1_6	ERR039368	mysnps_118	118	2	epidemic	DT193
119	DT193	S02909-08	ERS023530	1749s43	6221_1_7	ERR039369	mysnps_119	119	2	epidemic	DT193
120	DT193	S05894-09	ERS023532	1749s45	6221_1_9	ERR039371	mysnps_120	120	2	epidemic	DT193
121	DT2	01-2888	.	.	.	.	mysnps_rep_1	25	1	avian	other
122	DT2	03-715	.	.	.	.	mysnps_rep_2	29	1	avian	other
123	ST313	A130	.	.	.	.	mysnps_rep_3	30	1	avian	other
124	ST313	D23580	.	.	.	.	mysnps_rep_4	31	1	avian	other
125	DT104	DT104	.	.	.	.	mysnps_rep_5	117	2	epidemic	DT104BC
126	DT2	DT2	.	.	.	.	mysnps_rep_6	32	1	avian	other
127	DT8	L01157	.	.	.	.	mysnps_rep_7	33	1	avian	other
128	U288	O1960-05	.	.	.	.	mysnps_rep_8	104	2	epidemic	U288
129	monophasic	04698-09	.	.	.	.	mysnps_rep_9	132	2	epidemic	DT193
130	monophasic	S01569-10	.	.	.	.	mysnps_rep_10	131	2	epidemic	DT193
131	SL1344	SL1344	.	.	.	.	mysnps_rep_11	26	1	avian	other
132	DT8	S03645-11	.	.	.	.	mysnps_rep_12	27	1	avian	other
133	DT8	S04527-10	.	.	.	.	mysnps_rep_13	28	1	avian	other
134	DT56	S07676	.	.	.	.	mysnps_rep_14	53	1	avian	DT56
